A,B,C,D,E,F,G,H,I,J,K,L,M,N
Region,Hotels,Hotels %,Rooms,Rooms %,2023 Revenue,2023 Revenue %,,,,,,,
West,11.0,28%,"1,337",28%,$34.5M,33%,,,,,,,
Midwest & Northeast,16.0,41%,"1,956",41%,$40.7M,39%,,,,,,,
South,12.0,31%,"1,449",31%,$28.7M,28%,,,,,,,
Total,39.0,100%,"4,742",100%,$103.9M,100%,,,,,,,
,,,,,,,,,,,,,
Hotel,Keys,Brand,Address,City,State,,,,,,,,
sonesta simply suites Phoenix,98,sonesta simply suites,11411 n. black Canyon Highway,Phoenix,aZ,,,,,,,,
sonesta simply suites Phoenix Tempe,122,sonesta simply suites,1335 W. baseline Road,Tempe,aZ,,,,,,,,
sonesta simply suites silicon Valley santa Clara,122,sonesta simply suites,481 el Camino Real,santa Clara,Ca,,,,,,,,
sonesta simply suites anaheim,133,sonesta simply suites,12901 Garden Grove boulevard,Garden Grove,Ca,,,,,,,,
sonesta simply suites orange County airport,122,sonesta simply suites,2600 s. Red Hill avenue,santa ana,Ca,,,,,,,,
sonesta simply suites Irvine east foothill,122,sonesta simply suites,3 south Pointe Drive,lake forest,Ca,,,,,,,,
sonesta simply suites Denver West federal Center,122,sonesta simply suites,895 Tabor street,Golden,Co,,,,,,,,
sonesta simply suites albuquerque,123,sonesta simply suites,"3025 Richmond avenue, ne",albuquerque,nM,,,,,,,,
sonesta simply suites salt lake City airport,122,sonesta simply suites,2170 West north Temple street,salt lake City,UT,,,,,,,,
sonesta simply suites seattle Renton,137,sonesta simply suites,300 sW 19th street,Renton,Wa,,,,,,,,
*sonesta select seattle Renton,114,sonesta select,200 sW 19th street,Renton,Wa,,,,,,,,
,,,,,,,,,,,,,
