Number of Coils,Number of Paperclips,Speed (mph),Driver,Car,Engine,Date,Time (drops of water),Distance (cm)
5.0,"3, 5, 4",,,,,,,
10.0,"7, 8, 6",,,,,,,
15.0,"11, 10, 12",,,,,,,
20.0,"15, 13, 14",,,,,,,
,,407.447,Craig Breedlove,Spirit of America,GE J47,8/5/63,,
,,413.199,Tom Green,Wingfoot Express,WE J46,10/2/64,,
,,434.22,Art Arfons,Green Monster,GE J79,10/5/64,,
,,468.719,Craig Breedlove,Spirit of America,GE J79,10/13/64,,
,,526.277,Craig Breedlove,Spirit of America,GE J79,10/15/65,,
,,536.712,Art Arfons,Green Monster,GE J79,10/27/65,,
,,555.127,Craig Breedlove,"Spirit of America, Sonic 1",GE J79,11/2/65,,
,,576.553,Art Arfons,Green Monster,GE J79,11/7/65,,
,,600.601,Craig Breedlove,"Spirit of America, Sonic 1",GE J79,11/15/65,,
,,622.407,Gary Gabelich,Blue Flame,Rocket,10/23/70,,
,,633.468,Richard Noble,Thrust 2,RR RG 146,10/4/83,,
,,763.035,Andy Green,Thrust SSC,RR Spey,10/15/97,,
,,,,,,,1.0,"10,11,9"
,,,,,,,2.0,"29, 31, 30"
,,,,,,,3.0,"59, 58, 61"
,,,,,,,4.0,"102, 100, 98"
,,,,,,,5.0,"122, 125, 127"
